pid,rating_average,reviews_count,item,price,Công ty phát hành,Ngày xuất bản,Kích thước,Loại bìa,Số trang,category
304497.0,4.2,327,Hôm Nay Tôi Thất Tình,68700.0,Skybooks,2017-01-04 00:00:00,13 x 20.5 cm,Bìa mềm,200.0,sách tình cảm
339724.0,4.5,15,Người Đàn Bà Đang Yêu (Tiểu Thuyết),148000.0,Liên Việt,2011-06-03 00:00:00,16x24 cm,Bìa mềm,644.0,sách tiểu thuyết
341382.0,4.5,11,100 Ý Tưởng Viết Quảng Cáo Tuyệt Hay,89000.0,NXB Trẻ,2011-09-15 00:00:00,13 x 20.5 cm,Bìa mềm,318.0,sách viến tưởng
361889.0,0.0,0,60 Món Ăn Được Ưa Thích - Món Thịt Heo,24600.0,Công Ty TNHH Văn Hóa Việt Thư,2010-09-30 00:00:00,14.5 x 20.5 cm,Bìa mềm,64.0,sách nấu ăn
362055.0,4.7,14,"Nấu Ăn Ngon - Các Món Kho, Nướng",24600.0,Công Ty TNHH Văn Hóa Việt Thư,2011-12-30 00:00:00,14.5 x 20.5 cm,Bìa mềm,64.0,sách nấu ăn
362140.0,4.4,5,Món Ăn Hàng Ngày,24300.0,Công Ty TNHH Văn Hóa Việt Thư,2012-01-15 00:00:00,14.5 x 20.5 cm,Bìa mềm,64.0,sách nấu ăn
365991.0,4.8,19,Bộ Sách Phát Triển Trí Tuệ Trẻ Em (10 Cuốn) (Tái Bản),75500.0,Công Ty Cổ Phần Văn Hóa Đông A,2011-03-15 00:00:00,Đang cập nhật,Bìa mềm,160.0,sách trẻ em
366108.0,4.6,56,Tủ Sách Bách Khoa Tri Thức Trẻ Em - Bí Ẩn Của Đại Dương (Tái Bản),63000.0,Huy Hoàng Bookstore,2012-10-15 00:00:00,20.5 x 27 cm,Bìa cứng,60.0,sách trẻ em
374106.0,4.7,59,Truyện Tranh Tuổi Thần Tiên (Bộ Túi 8 Cuốn),62000.0,Minh Long,2013-07-25 07:00:00,19 x 27 cm,,,truyện tranh
381234.0,4.7,1087,Cuốn Sách Hoàn Hảo Về Ngôn Ngữ Cơ Thể - Body Language (Tái Bản),159000.0,Nhân Trí Việt,2014-08-03 00:00:00,14 x 21.5 cm,Bìa mềm,456.0,sách
